id,correlation,n_items,capacity,greedy_profit,dp_profit,gap,greedy_time,dp_time
0,uncorrelated,50,1324,1778,1778,0.0,0.00018199998885393143,0.04136380000272766
1,weak,50,1108,2039,2053,0.006819288845591817,8.100000559352338e-05,0.0358637000026647
2,strong,50,1366,3112,3125,0.00416,0.00010839998139999807,0.04306279998854734
3,uncorrelated,50,1120,2028,2041,0.006369426751592357,7.949999417178333e-05,0.035502999991877005
4,weak,50,1238,2206,2209,0.001358080579447714,7.890001870691776e-05,0.040835299994796515
5,strong,50,1094,2597,2610,0.004980842911877395,8.699999307282269e-05,0.034364999999525025
6,uncorrelated,50,1318,1738,1766,0.015855039637599093,7.40000104997307e-05,0.04264540001167916
7,weak,50,1245,2191,2193,0.0009119927040583675,0.00011690001701936126,0.03898059998755343
8,strong,50,1354,3018,3064,0.015013054830287207,9.57000011112541e-05,0.043423600000096485
9,uncorrelated,50,1271,1895,1907,0.006292606187729418,8.19999841041863e-05,0.04148649997659959
10,weak,50,1195,2227,2241,0.006247211066488175,8.850000449456275e-05,0.039309200015850365
11,strong,50,1286,2950,2982,0.010731052984574111,8.009999874047935e-05,0.041953699983423576
12,uncorrelated,50,1282,2168,2168,0.0,7.88999896030873e-05,0.04171600000699982
13,weak,50,1175,2211,2216,0.002256317689530686,7.54999928176403e-05,0.040575999999418855
14,strong,50,1150,2697,2732,0.01281112737920937,7.179999374784529e-05,0.03728349998709746
15,uncorrelated,50,1140,2221,2223,0.000899685110211426,0.0001157999795395881,0.036338800011435524
16,weak,50,1177,2198,2212,0.006329113924050633,7.40000104997307e-05,0.037497099983738735
17,strong,50,1063,2509,2545,0.014145383104125737,7.239999831654131e-05,0.03417369999806397
18,uncorrelated,50,1101,1981,1981,0.0,7.109998841769993e-05,0.03582709998590872
19,weak,50,1392,2397,2404,0.0029118136439267887,7.390000973828137e-05,0.046463700011372566
20,strong,50,1244,2936,2942,0.0020394289598912306,8.040000102482736e-05,0.03941070000291802
21,uncorrelated,50,1260,2054,2057,0.0014584346135148275,6.709998706355691e-05,0.04125479998765513
22,weak,50,1251,2163,2164,0.0004621072088724584,7.380000897683203e-05,0.0539610999985598
23,strong,50,1291,2904,2920,0.005479452054794521,7.939999341033399e-05,0.04421259998343885
24,uncorrelated,50,1064,2201,2207,0.002718622564567286,8.230001549236476e-05,0.03401639999356121
25,weak,50,1031,2023,2031,0.003938946331856229,0.00012130002141930163,0.03214220001245849
26,strong,50,1323,2978,2980,0.0006711409395973154,0.00010649999603629112,0.04177569999592379
27,uncorrelated,50,1249,1692,1692,0.0,8.090000483207405e-05,0.039519400015706196
28,weak,50,1134,2075,2078,0.0014436958614051972,8.3099992480129e-05,0.03587449999758974
29,strong,50,1316,3034,3037,0.0009878169245966415,7.929999264888465e-05,0.042641299980459735
30,uncorrelated,50,1044,1805,1808,0.00165929203539823,9.300000965595245e-05,0.03312539999024011
31,weak,50,1293,2242,2268,0.01146384479717813,9.590000263415277e-05,0.04065979999722913
32,strong,50,1276,2995,2997,0.000667334000667334,7.639999967068434e-05,0.040473900007782504
33,uncorrelated,50,1202,2017,2020,0.0014851485148514852,7.730000652372837e-05,0.03876879997551441
34,weak,50,1396,2420,2426,0.00247320692497939,7.879998884163797e-05,0.04450030002044514
35,strong,50,1267,2930,2952,0.007452574525745257,0.00010410000686533749,0.040537599998060614
36,uncorrelated,50,1180,1830,1830,0.0,0.00010930001735687256,0.037437899998622015
37,weak,50,1225,2303,2306,0.0013009540329575022,7.2900002123788e-05,0.039875100017525256
38,strong,50,1372,3093,3100,0.0022580645161290325,7.199999527074397e-05,0.04489460002514534
39,uncorrelated,50,1283,1861,1861,0.0,6.089999806135893e-05,0.04273879999527708
40,weak,50,1398,2359,2359,0.0,6.960000609979033e-05,0.04657539998879656
41,strong,50,1282,2971,3013,0.013939595087952207,7.310000364668667e-05,0.04128490001312457
42,uncorrelated,50,1255,2101,2101,0.0,6.53000024612993e-05,0.040553900005761534
43,weak,50,1284,2186,2197,0.005006827492034593,0.0001829999964684248,0.04238549998262897
44,strong,50,1320,3014,3036,0.007246376811594203,7.569999434053898e-05,0.0445727999904193
45,uncorrelated,50,1149,2063,2063,0.0,0.00011260001338087022,0.039906299993162975
46,weak,50,1255,2195,2214,0.008581752484191508,0.0001086000120267272,0.04418629998690449
47,strong,50,1366,3119,3131,0.0038326413286489938,8.079997496679425e-05,0.042235300003085285
48,uncorrelated,50,1187,1814,1823,0.004936917169500823,6.240000948309898e-05,0.036857200000667945
49,weak,50,1241,2199,2203,0.0018157058556513845,7.199999527074397e-05,0.03936779999639839
50,strong,50,1218,2816,2823,0.002479631597591215,8.060000254772604e-05,0.03878249999252148
51,uncorrelated,50,1258,2072,2072,0.0,7.40000104997307e-05,0.04089709999971092
52,weak,50,1202,2168,2168,0.0,8.830000297166407e-05,0.03916039998875931
53,strong,50,1325,3041,3048,0.0022965879265091863,7.090001599863172e-05,0.04559779999544844
54,uncorrelated,50,987,2363,2363,0.0,8.170001092366874e-05,0.03125550001277588
55,weak,50,1526,2490,2492,0.0008025682182985554,6.960000609979033e-05,0.048299700021743774
56,strong,50,1200,2792,2793,0.00035803795202291446,8.460000390186906e-05,0.03829009999753907
57,uncorrelated,50,1218,2380,2397,0.0070921985815602835,7.410001126118004e-05,0.03868200001306832
58,weak,50,1226,2238,2238,0.0,7.579999510198832e-05,0.03926970000611618
59,strong,50,1366,3113,3113,0.0,7.499998901039362e-05,0.043304999999236315
60,uncorrelated,50,1445,1795,1803,0.004437049362174155,7.469998672604561e-05,0.04546190000837669
61,weak,50,1158,2145,2145,0.0,7.810001261532307e-05,0.03763110001455061
62,strong,50,1215,2825,2825,0.0,7.860001642256975e-05,0.03827290001208894
63,uncorrelated,50,1226,2083,2083,0.0,7.159999222494662e-05,0.039020299998810515
64,weak,50,1201,2178,2202,0.010899182561307902,6.799999391660094e-05,0.04024929998558946
65,strong,50,1202,2780,2823,0.015232022670917464,7.22000258974731e-05,0.03870400000596419
66,uncorrelated,50,1280,1962,1978,0.008088978766430738,6.629998097196221e-05,0.04185539999161847
67,weak,50,1233,2214,2225,0.004943820224719101,7.090001599863172e-05,0.04066749999765307
68,strong,50,1279,2926,2937,0.003745318352059925,7.520001963712275e-05,0.0426210000005085
69,uncorrelated,50,1270,1731,1735,0.0023054755043227667,7.509998977184296e-05,0.04095409999717958
70,weak,50,1419,2303,2334,0.013281919451585262,7.199999527074397e-05,0.045468199998140335
71,strong,50,1078,2558,2571,0.005056398288603656,7.170002209022641e-05,0.03558990001329221
72,uncorrelated,50,1257,1932,1932,0.0,7.249999907799065e-05,0.04102389997569844
73,weak,50,1258,2203,2203,0.0,7.179999374784529e-05,0.042278299981262535
74,strong,50,1203,2760,2762,0.000724112961622013,7.770000956952572e-05,0.0386222000233829
75,uncorrelated,50,1289,2217,2222,0.0022502250225022503,7.120001828297973e-05,0.04157649999251589
76,weak,50,1199,2222,2247,0.011125945705384957,6.940000457689166e-05,0.0397287999803666
77,strong,50,1082,2501,2523,0.008719778042013475,0.00010989999282173812,0.034947199979797006
78,uncorrelated,50,1304,1901,1901,0.0,7.039998308755457e-05,0.04452920000767335
79,weak,50,1326,2530,2544,0.00550314465408805,8.239998714998364e-05,0.0426558000035584
80,strong,50,1145,2691,2728,0.013563049853372434,8.120000711642206e-05,0.03783899999689311
81,uncorrelated,50,1369,2004,2011,0.0034808552958727,7.6299998909235e-05,0.04387449999921955
82,weak,50,1326,2155,2183,0.01282638570774164,8.9599983766675e-05,0.04330709998612292
83,strong,50,1131,2585,2635,0.018975332068311195,7.249999907799065e-05,0.03623679999145679
84,uncorrelated,50,1403,2066,2075,0.004337349397590362,6.590000702999532e-05,0.04588820002391003
85,weak,50,1239,2195,2200,0.0022727272727272726,7.459998596459627e-05,0.03982149998773821
86,strong,50,1014,2456,2472,0.006472491909385114,6.219997885636985e-05,0.03324990000692196
87,uncorrelated,50,1238,2032,2032,0.0,6.78999931551516e-05,0.04131649999180809
88,weak,50,1263,2275,2296,0.009146341463414634,8.040000102482736e-05,0.04151589999673888
89,strong,50,1332,3091,3093,0.0006466214031684449,7.070001447573304e-05,0.043367400008719414
90,uncorrelated,50,1235,2242,2242,0.0,7.06000137142837e-05,0.03934080002363771
91,weak,50,1210,2220,2220,0.0,7.509998977184296e-05,0.03984329997911118
92,strong,50,1242,2882,2900,0.006206896551724138,7.079998613335192e-05,0.04086159999133088
93,uncorrelated,50,1160,1877,1893,0.008452192287374538,7.37000082153827e-05,0.03719820000696927
94,weak,50,1395,2354,2372,0.007588532883642495,6.930000381544232e-05,0.04557729998487048
95,strong,50,1024,2418,2434,0.00657354149548069,7.079998613335192e-05,0.03320839998195879
96,uncorrelated,50,1324,2122,2122,0.0,6.920000305399299e-05,0.04485900001600385
97,weak,50,1249,2237,2253,0.007101642254771416,8.689999231137335e-05,0.04148090002126992
98,strong,50,1265,2887,2924,0.01265389876880985,9.560000034980476e-05,0.040820499998517334
99,uncorrelated,50,1163,1961,1966,0.00254323499491353,7.079998613335192e-05,0.03756129997782409
