id,correlation,n_items,capacity,greedy_profit,dp_profit,gap,greedy_time,dp_time,best_algorithm
0,strong,100,1180,2889,2903,0.004822597313124354,0.0003494999837130308,0.07288799999514595,dp
1,uncorrelated,100,4106,5146,5146,0.0,0.0001333000254817307,0.26777710003079847,dp
2,uncorrelated,200,3428,6455,6459,0.0006192909119058678,0.0001659000408835709,0.4473604000522755,dp
3,inverse,50,827,2633,2634,0.00037965072133637056,8.600001456215978e-05,0.025264700001571327,dp
4,inverse,100,795,3008,3008,0.0,8.579995483160019e-05,0.04798480001045391,dp
5,weak,50,1573,2697,2703,0.0022197558268590455,7.219996768981218e-05,0.05122209998080507,dp
6,weak,50,1025,1853,1856,0.0016163793103448276,8.150003850460052e-05,0.031446200038772076,dp
7,uncorrelated,200,4956,8105,8110,0.0006165228113440197,0.00024230004055425525,0.6517421000171453,dp
8,inverse,50,1540,2529,2529,0.0,8.28000484034419e-05,0.048723499989137053,dp
9,uncorrelated,100,2834,4343,4352,0.002068014705882353,0.00011150003410875797,0.1841128999949433,dp
10,weak,200,6760,11449,11449,0.0,0.00016470003174617887,0.9130914999986999,dp
11,uncorrelated,50,1201,1820,1820,0.0,8.160003926604986e-05,0.038263400027062744,dp
12,weak,50,368,1054,1054,0.0,7.069995626807213e-05,0.010135999997146428,dp
13,uncorrelated,100,2868,4557,4561,0.0008770006577504934,9.220000356435776e-05,0.18699539999943227,dp
14,inverse,50,1370,2927,2929,0.0006828269033799932,8.349999552592635e-05,0.0434302999638021,dp
15,strong,50,334,859,862,0.0034802784222737818,6.54000323265791e-05,0.009338500036392361,dp
16,strong,50,258,651,657,0.0091324200913242,8.349999552592635e-05,0.006917899998370558,dp
17,inverse,50,1204,3030,3030,0.0,6.970000686123967e-05,0.040312099969014525,dp
18,weak,100,3831,6097,6114,0.002780503761858031,0.00011359999189153314,0.25596340000629425,dp
19,uncorrelated,50,680,1313,1313,0.0,7.430004188790917e-05,0.0203604000271298,dp
20,weak,50,1886,2975,2978,0.0010073875083948958,7.340003503486514e-05,0.05928780004614964,dp
21,strong,50,1017,2343,2370,0.01139240506329114,6.819999543949962e-05,0.03275430004578084,dp
22,weak,50,1715,2750,2751,0.0003635041802980734,7.190002361312509e-05,0.053591599978972226,dp
23,uncorrelated,100,2102,3400,3413,0.003808965719308526,9.879999561235309e-05,0.13652749999891967,dp
24,uncorrelated,50,1036,2192,2192,0.0,8.069997420534492e-05,0.032698500028345734,dp
25,inverse,200,3189,9797,9801,0.00040812162024283236,0.00016110000433400273,0.4123267999966629,dp
26,strong,50,2109,4637,4644,0.0015073212747631353,8.379999781027436e-05,0.06732529995497316,dp
27,weak,50,2199,3452,3458,0.001735106998264893,7.349997758865356e-05,0.07084219995886087,dp
28,inverse,200,2052,8682,8685,0.0003454231433506045,0.00015009997878223658,0.26344730000710115,dp
29,weak,50,1323,2305,2310,0.0021645021645021645,8.669996168464422e-05,0.04118659999221563,dp
30,inverse,50,1741,3347,3347,0.0,7.150002056732774e-05,0.05695679999189451,dp
31,weak,50,376,917,930,0.013978494623655914,6.410002242773771e-05,0.010414999967906624,dp
32,strong,50,412,1075,1084,0.008302583025830259,5.540001438930631e-05,0.01150459999917075,dp
33,uncorrelated,100,3670,4650,4656,0.001288659793814433,0.00010389997623860836,0.23679960001027212,dp
34,inverse,100,1858,4775,4777,0.0004186728072011723,0.00011190003715455532,0.1202952999738045,dp
35,inverse,100,2777,5607,5638,0.005498403689251507,0.00011299998732283711,0.17705360002582893,dp
36,inverse,100,1197,4656,4668,0.002570694087403599,0.00010989996371790767,0.07725959998788312,dp
37,strong,50,1147,2663,2677,0.005229734777736272,7.420004112645984e-05,0.035350200021639466,dp
38,uncorrelated,50,1783,2188,2188,0.0,7.03000114299357e-05,0.056405400042422116,dp
39,uncorrelated,200,5829,8633,8633,0.0,0.0001610000035725534,0.7550357000436634,dp
40,strong,200,8646,19227,19288,0.003162588137702198,0.00019260001135990024,1.1260089999996126,dp
41,uncorrelated,100,4560,4344,4345,0.00023014959723820482,0.00012659997446462512,0.2974359000218101,dp
42,strong,100,3981,8805,8817,0.0013610071452875127,0.00012929999502375722,0.25723739998647943,dp
43,uncorrelated,50,554,1098,1106,0.007233273056057866,7.720000576227903e-05,0.016435900004580617,dp
44,strong,50,569,1369,1389,0.014398848092152628,5.97000471316278e-05,0.017193300009239465,dp
45,uncorrelated,100,3216,4708,4720,0.002542372881355932,0.00010130001464858651,0.2294465999584645,dp
46,uncorrelated,50,871,1581,1593,0.007532956685499058,9.059999138116837e-05,0.02643760002683848,dp
47,inverse,100,3392,5436,5436,0.0,0.0001145999995060265,0.22722960001556203,dp
48,uncorrelated,50,1450,2016,2025,0.0044444444444444444,9.390001650899649e-05,0.04537669999990612,dp
49,weak,50,1175,2107,2109,0.000948316737790422,7.71000050008297e-05,0.037503100000321865,dp
50,inverse,200,1996,8125,8133,0.0009836468707733923,0.0001537000061944127,0.25704210001276806,dp
51,uncorrelated,100,3121,4446,4452,0.0013477088948787063,0.0001145999995060265,0.2007976999739185,dp
52,strong,100,1951,4628,4650,0.004731182795698925,0.00010649999603629112,0.12637369998265058,dp
53,weak,100,2705,4858,4869,0.002259190798932019,0.000112100038677454,0.17684780003037304,dp
54,weak,200,4230,8146,8155,0.001103617412630288,0.00017420004587620497,0.5559877000050619,dp
55,inverse,200,5215,9812,9813,0.00010190563538163661,0.00017980003030970693,0.684753300040029,dp
56,uncorrelated,50,772,1425,1425,0.0,8.600001456215978e-05,0.028714300016872585,dp
57,uncorrelated,200,8152,9585,9587,0.00020861583394179617,0.00022470002295449376,1.0898030999815091,dp
58,uncorrelated,100,513,1954,1954,0.0,0.00010569998994469643,0.030784200003836304,dp
59,uncorrelated,200,5176,8166,8168,0.0002448579823702253,0.00017010001465678215,0.6777941000182182,dp
60,weak,100,2027,3862,3872,0.0025826446280991736,0.00010850001126527786,0.13178000005427748,dp
61,inverse,50,1964,3108,3108,0.0,8.749996777623892e-05,0.06523270002799109,dp
62,weak,100,1530,3050,3055,0.0016366612111292963,0.00010539998766034842,0.09749339998234063,dp
63,weak,100,1593,3391,3397,0.001766264350897851,0.00010840001050382853,0.10619370004860684,dp
64,uncorrelated,50,1331,2263,2282,0.008326029798422436,9.689998114481568e-05,0.04266480001388118,dp
65,inverse,100,1523,4163,4163,0.0,9.759998647496104e-05,0.09903859999030828,dp
66,inverse,50,878,2188,2194,0.0027347310847766638,7.740000728517771e-05,0.027721400023438036,dp
67,uncorrelated,200,1544,4199,4201,0.00047607712449416806,0.0001343999756500125,0.19883969996590167,dp
68,strong,100,4182,9235,9259,0.002592072578032185,0.00011929997708648443,0.27718480001203716,dp
69,strong,50,503,1266,1269,0.002364066193853428,8.019997039809823e-05,0.014857699978165329,dp
70,inverse,100,791,3521,3525,0.0011347517730496454,0.00010389997623860836,0.04929860000265762,dp
71,weak,200,2995,6352,6361,0.001414871875491275,0.00019809999503195286,0.3958721000235528,dp
72,weak,50,1829,2962,2962,0.0,8.399999933317304e-05,0.05841070000315085,dp
73,uncorrelated,50,527,1392,1397,0.0035790980672870437,7.569999434053898e-05,0.01572129997657612,dp
74,strong,100,1157,2792,2794,0.0007158196134574087,0.00010339997243136168,0.07871079997858033,dp
75,uncorrelated,200,2513,5582,5583,0.00017911517105498835,0.00015869998605921865,0.33488799998303875,dp
76,weak,100,1669,3400,3401,0.00029403116730373417,0.00010099995415657759,0.11157619999721646,dp
77,strong,50,786,1847,1879,0.017030335284725917,8.560001151636243e-05,0.0250314999721013,dp
78,uncorrelated,100,2617,3911,3911,0.0,0.00010839995229616761,0.1702509000315331,dp
79,strong,100,2039,4822,4826,0.0008288437629506838,9.739998495206237e-05,0.13528409996069968,dp
80,strong,50,252,717,725,0.011034482758620689,7.470004493370652e-05,0.006753800029400736,dp
81,uncorrelated,50,1152,1816,1817,0.000550357732526142,6.859999848529696e-05,0.036283799970988184,dp
82,weak,50,1825,2793,2794,0.00035790980672870435,7.14000198058784e-05,0.05895920004695654,dp
83,strong,50,660,1586,1612,0.016129032258064516,7.839995669201016e-05,0.020122700021602213,dp
84,strong,200,8399,18649,18675,0.001392235609103079,0.00019230000907555223,1.1287692000041716,dp
85,weak,200,2647,5770,5782,0.0020754064337599448,0.00016840000171214342,0.36374549998436123,dp
86,strong,200,7448,16983,16983,0.0,0.00020729994866997004,0.9993736000033095,dp
87,weak,50,1723,2950,2953,0.001015916017609211,8.600001456215978e-05,0.05724930000724271,dp
88,strong,50,1170,2735,2755,0.007259528130671506,8.450000314041972e-05,0.03727309999521822,dp
89,weak,100,658,1560,1560,0.0,8.349999552592635e-05,0.04048739996505901,dp
90,strong,100,4668,10246,10300,0.005242718446601942,0.000116499955765903,0.3191936999792233,dp
91,weak,50,1140,2096,2123,0.012717852096090438,9.799998952075839e-05,0.03589469997677952,dp
92,uncorrelated,50,946,1987,1988,0.0005030181086519115,7.149996235966682e-05,0.028696099994704127,dp
93,strong,50,1675,3690,3758,0.018094731240021287,8.670001989230514e-05,0.052614199987147,dp
94,strong,50,960,2132,2192,0.02737226277372263,6.900000153109431e-05,0.02955370000563562,dp
95,uncorrelated,50,998,2100,2100,0.0,6.629998097196221e-05,0.0305981999845244,dp
96,strong,100,1965,4585,4617,0.006930907515702837,9.869999485090375e-05,0.13014159997692332,dp
97,uncorrelated,50,1112,1888,1905,0.008923884514435695,7.569999434053898e-05,0.03552189999027178,dp
98,uncorrelated,50,2084,2835,2835,0.0,7.450004341080785e-05,0.0680908000213094,dp
99,uncorrelated,50,262,890,910,0.02197802197802198,6.980000762268901e-05,0.007015099981799722,dp
100,weak,200,1136,3212,3217,0.001554243083618278,0.00014140002895146608,0.14502779999747872,dp
